Participant,Channel,Hardware Channel,Metric,Mean,Std,Day,SkinTone,Speed,Depth,Experiment
Medium_Intermediate_2.5mm,Co-Polarized_IR,C15,PI,-200.4236109420312,34.817402113913275,Day_1,Medium,Intermediate,2.5mm,Experiment_2
Medium_Intermediate_2.5mm,Cross-Polarized_Green,C19,PI,-210.82618321409117,87.28105811728754,Day_1,Medium,Intermediate,2.5mm,Experiment_2
Medium_Intermediate_2.5mm,Cross-Polarized_Red,C18,PI,-189.33313589736753,27.16162202614369,Day_1,Medium,Intermediate,2.5mm,Experiment_2
Medium_Intermediate_2.5mm,Cross-Polarized_IR,C21,PI,-209.031528111208,58.566208930777705,Day_1,Medium,Intermediate,2.5mm,Experiment_2
Medium_Intermediate_3.75mm,Unpolarized_A_Green,C5,PI,-240.09000878433105,56.00448388424313,Day_1,Medium,Intermediate,3.75mm,Experiment_2
Medium_Intermediate_3.75mm,Unpolarized_A_Red,C2,PI,-200.50148375352012,72.27302807892491,Day_1,Medium,Intermediate,3.75mm,Experiment_2
Medium_Intermediate_3.75mm,Unpolarized_A_IR,C4,PI,,,Day_1,Medium,Intermediate,3.75mm,Experiment_2
Medium_Intermediate_3.75mm,Unpolarized_B_Green,C11,PI,,,Day_1,Medium,Intermediate,3.75mm,Experiment_2
Medium_Intermediate_3.75mm,Unpolarized_B_Red,C8,PI,,,Day_1,Medium,Intermediate,3.75mm,Experiment_2
Medium_Intermediate_3.75mm,Unpolarized_B_IR,C10,PI,,,Day_1,Medium,Intermediate,3.75mm,Experiment_2
Medium_Intermediate_3.75mm,Co-Polarized_Green,C13,PI,-209.7119676726455,80.84955925207157,Day_1,Medium,Intermediate,3.75mm,Experiment_2
Medium_Intermediate_3.75mm,Co-Polarized_Red,C12,PI,-248.35763108511551,116.40165710598086,Day_1,Medium,Intermediate,3.75mm,Experiment_2
Medium_Intermediate_3.75mm,Co-Polarized_IR,C15,PI,-75.03613532343515,315.9151195400107,Day_1,Medium,Intermediate,3.75mm,Experiment_2
Medium_Intermediate_3.75mm,Cross-Polarized_Green,C19,PI,-278.14120281096433,0.0,Day_1,Medium,Intermediate,3.75mm,Experiment_2
Medium_Intermediate_3.75mm,Cross-Polarized_Red,C18,PI,-230.55750361358673,55.334913064629944,Day_1,Medium,Intermediate,3.75mm,Experiment_2
Medium_Intermediate_3.75mm,Cross-Polarized_IR,C21,PI,-220.27320550075737,0.6832320438178243,Day_1,Medium,Intermediate,3.75mm,Experiment_2
Medium_Fast_2.5mm,Unpolarized_A_Green,C5,PI,,,Day_1,Medium,Fast,2.5mm,Experiment_2
Medium_Fast_2.5mm,Unpolarized_A_Red,C2,PI,,,Day_1,Medium,Fast,2.5mm,Experiment_2
Medium_Fast_2.5mm,Unpolarized_A_IR,C4,PI,,,Day_1,Medium,Fast,2.5mm,Experiment_2
Medium_Fast_2.5mm,Unpolarized_B_Green,C11,PI,,,Day_1,Medium,Fast,2.5mm,Experiment_2
Medium_Fast_2.5mm,Unpolarized_B_Red,C8,PI,,,Day_1,Medium,Fast,2.5mm,Experiment_2
Medium_Fast_2.5mm,Unpolarized_B_IR,C10,PI,,,Day_1,Medium,Fast,2.5mm,Experiment_2
Medium_Fast_2.5mm,Co-Polarized_Green,C13,PI,,,Day_1,Medium,Fast,2.5mm,Experiment_2
Medium_Fast_2.5mm,Co-Polarized_Red,C12,PI,,,Day_1,Medium,Fast,2.5mm,Experiment_2
Medium_Fast_2.5mm,Co-Polarized_IR,C15,PI,,,Day_1,Medium,Fast,2.5mm,Experiment_2
Medium_Fast_2.5mm,Cross-Polarized_Green,C19,PI,,,Day_1,Medium,Fast,2.5mm,Experiment_2
Medium_Fast_2.5mm,Cross-Polarized_Red,C18,PI,,,Day_1,Medium,Fast,2.5mm,Experiment_2
Medium_Fast_2.5mm,Cross-Polarized_IR,C21,PI,,,Day_1,Medium,Fast,2.5mm,Experiment_2
